sku,title,link,price,image
88185STK,A. Vogel Cinuforce Neusspray Droog Neusslijmvlies Korstjes 15ml,http://www.jumbo.com/a-vogel-cinuforce-neusspray-droog-neusslijmvlies-korstjes-15ml/88185STK/,6.83,https://static-images.jumbo.com/product_images/88185STK-1_360x360.png
145782STK,A. Vogel Cinuforce Neusspray Forte 20ml,http://www.jumbo.com/a-vogel-cinuforce-neusspray-forte-20ml/145782STK/,6.51,https://static-images.jumbo.com/product_images/145782STK-1_360x360.png
152311STK,A. Vogel Echinaforce Hot Drink Forte + Vlierbes 100ml,http://www.jumbo.com/a-vogel-echinaforce-hot-drink-forte--vlierbes-100ml/152311STK/,11.79,https://static-images.jumbo.com/product_images/69251ST-1_360x360.png
88189STK,"A. Vogel Famosan Overgang Totaal 60 Tabletten 47, 4g","http://www.jumbo.com/a-vogel-famosan-overgang-totaal-60-tabletten-47,-4g/88189STK/",18.79,https://static-images.jumbo.com/product_images/88189STK-1_360x360.png
190797STK,A. Vogel Herbamare Original Zeezout met Verse Kruiden en Groenten 250g,http://www.jumbo.com/a-vogel-herbamare-original-zeezout-met-verse-kruiden-en-groenten-250g/190797STK/,4.02,https://static-images.jumbo.com/product_images/190797STK-1_360x360.png
79602STK,A. Vogel Hoestspray nr. 1 Droge en Kriebelhoest 30ml,http://www.jumbo.com/a-vogel-hoestspray-nr-1-droge-en-kriebelhoest-30ml/79602STK/,9.24,https://static-images.jumbo.com/product_images/79602STK-1_360x360.png
79603STK,A. Vogel Hoestspray Slijmoplossend 30ml,http://www.jumbo.com/a-vogel-hoestspray-slijmoplossend-30ml/79603STK/,9.25,https://static-images.jumbo.com/product_images/79603STK-1_360x360.png
145783STK,A. Vogel Keeltabletten Suikervrije Zuigtabletten 20 Stuks 28g,http://www.jumbo.com/a-vogel-keeltabletten-suikervrije-zuigtabletten-20-stuks-28g/145783STK/,6.03,https://static-images.jumbo.com/product_images/145783STK-1_360x360.png
48765STK,A. Vogel Oogdruppels 10ml,http://www.jumbo.com/a-vogel-oogdruppels-10ml/48765STK/,10.89,https://static-images.jumbo.com/product_images/48765STK-1_360x360.png
211054STK,A. Vogel Oorspray Jeuk 20ml,http://www.jumbo.com/a-vogel-oorspray-jeuk-20ml/211054STK/,11.39,https://static-images.jumbo.com/product_images/031120180614_211054STK-1_360x360.png
